Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
982 183-8,The Cure,Pornography,"Fiction Records, Polydor, Universal","CD, Album, RE, RM",,2005,15018411,Uncategorized,2025-06-12 08:55:04,,,
9830745,The Cure,Faith,"Fiction Records, Polydor, Universal","CD, Album, RE, RM",,0,20296213,Uncategorized,2025-06-12 08:54:30,,,
357 932-2,The Cure,Wish,"Fiction Records, UMC, Polydor","CD, Album, RE, RM, 30t",,2022,25279783,Uncategorized,2025-06-27 07:12:12,,,
532 456-8,The Cure,Disintegration,"Fiction Records, Universal Music Catalogue, Polydor","CD, Album, RE, RM",,0,9610970,Uncategorized,2025-06-12 08:54:11,,,
984 001-3,The Cure,The Top,"Fiction Records, Universal Music Catalogue, Polydor","CD, Album, RE, RM",,0,22985477,Uncategorized,2025-06-12 08:54:50,,,
984 008-1,The Cure,Kiss Me Kiss Me Kiss Me,"Fiction Records, Universal, Polydor","CD, Album, RE, RM",,2012,13572067,Uncategorized,2025-06-12 08:55:26,,,
3853987,Tame Impala,The Slow Rush,"Fiction Records, Virgin","2xLP, Album, Red + 12"", Rem + 12"", One + 7"", Bon +",,2022,22806698,Uncategorized,2024-07-05 01:14:25,,,
9862886,The Cure,The Cure,"Geffen Records, This Is An I Am Recording!","CD, Album, Enh",,2004,23953730,Uncategorized,2025-06-12 08:56:18,,,
3797205,Portishead,Dummy,Go! Beat,"LP, Album, RE, 180",5,2014,6326631,Uncategorized,2023-07-19 08:58:20,,,
HDBLP064,Loraine James,Gentle Confrontation,Hyperdub,"2xLP, Album",4,2023,28386718,Uncategorized,2023-11-30 03:27:01,,,
493 259-2,Various,Baz Luhrmann's Moulin Rouge (Collector's Edition),Interscope Records,"2xCD, Comp",,2002,507476,Uncategorized,2025-07-22 00:15:30,,,
602475052876,Lady Gaga,Harlequin,Interscope Records,"LP, Album, Red",,2024,31875026,Uncategorized,2024-12-06 01:33:54,,,
0602498814390,Nine Inch Nails,With Teeth,"Interscope Records, Nothing Records","CD, Album, Dig",,2005,448222,Uncategorized,2025-05-17 06:05:37,,,
00602537181223,Lana Del Rey,Born To Die (The Paradise Edition),"Interscope Records, Polydor","2xLP, Album + LP, Album + Box, Ltd, Sli",,2012,12379459,Uncategorized,2024-09-13 03:30:34,,,
